Genre,RecordOrigin,RecordCreationDate,RecordIdentifier,Roll
Chapter in book,u1iyorit,2009-07-16,227753,okänd
Manuscript (preprint),u1a5dci8,2014-05-26,719551,okänd
Article in journal,u12asleh,2016-09-11,968034,okänd
Conference paper,u10jjp5g,2016-12-05,1052107,okänd
Conference paper,u10jjp5g,2016-12-05,1052109,okänd
Article in journal,u15h0eoj,2017-02-08,1072641,okänd
Article in journal,u1ygqmuy,2017-03-16,1082415,okänd
Chapter in book,u171b46t,2017-03-27,1084919,okänd
Article in journal,u10el74v,2017-05-16,1095860,okänd
Article (review/survey),u1fdlmyp,2017-05-16,1096064,okänd
Article in journal,u1lv4ls8,2017-06-17,1111122,okänd
Article in journal,u1iluqob,2017-08-21,1134930,okänd
Article in journal,u1jo77ld,2017-11-06,1155080,okänd
Article in journal,u12q3qf9,2017-11-13,1156668,okänd
Article in journal,u12j3kfz,2017-11-16,1157671,okänd
Article in journal,u1eixcse,2017-11-30,1161714,okänd
Article in journal,u1ijv4s0,2017-12-26,1169401,okänd
Article in journal,u1utp1lq,2018-01-25,1177559,okänd
Article in journal,u1nqln80,2018-02-12,1182099,okänd
Article in journal,u142pf7a,2018-02-12,1181948,okänd
Article in journal,u142pf7a,2018-02-12,1181946,okänd
Article in journal,u1bc9kv8,2018-02-16,1183253,okänd
Article in journal,u13grc1j,2018-02-19,1183815,okänd
Article in journal,u1n0phox,2018-02-24,1185437,okänd
Article in journal,u19xqfyc,2018-02-28,1186529,okänd
Article in journal,u18eo52o,2018-03-23,1192819,okänd
Article in journal,u1nssmpd,2018-03-23,1192693,okänd
Article in journal,u1v26zcz,2018-03-26,1193114,okänd
Chapter in book,u1iluqob,2018-04-07,1195937,okänd
Article in journal,u1o2txrh,2018-05-21,1208818,KTHB
Article in journal,u1h95rc5,2018-05-30,1210925,okänd
Conference paper,u17k5wab,2018-08-06,1236936,okänd
Article in journal,u1rp75t5,2018-08-08,1237218,okänd
Article in journal,u18gsir9,2018-08-20,1240255,okänd
Article in journal,u1x80lng,2018-08-27,1242064,okänd
Conference paper,u1o2txrh,2018-08-28,1242351,KTHB
Conference paper,u1o2txrh,2018-08-28,1242589,KTHB
Conference paper,u1o2txrh,2018-08-28,1242368,KTHB
Conference paper,u1o2txrh,2018-08-28,1242381,KTHB
Conference paper,u1o2txrh,2018-08-28,1242599,KTHB
Conference paper,u1o2txrh,2018-08-28,1242576,KTHB
Conference paper,u1o2txrh,2018-08-28,1242347,KTHB
Conference paper,u1o2txrh,2018-08-28,1242556,KTHB
Article in journal,u1mzh00z,2018-08-31,1244430,okänd
Conference paper,u1o2txrh,2018-09-05,1245428,KTHB
Conference paper,u1o2txrh,2018-09-05,1245607,KTHB
Conference paper,u1o2txrh,2018-09-05,1245570,KTHB
Conference paper,u1o2txrh,2018-09-06,1245920,KTHB
Article in journal,u1bc9kv8,2018-09-06,1245937,okänd
Article in journal,u1bc9kv8,2018-09-07,1246559,okänd
Article in journal,u1v26zcz,2018-09-14,1248436,okänd
Article in journal,u1u71eoc,2018-09-20,1249807,okänd
Article in journal,u13h9uqy,2018-09-21,1250170,KTHB
Article in journal,u1edunwe,2018-10-03,1253150,KTHB
Article in journal,u1h95rc5,2018-10-04,1253264,okänd
Conference paper,u12umapf,2018-10-08,1253993,okänd
Article in journal,u1dfmuzo,2018-10-08,1254288,okänd
Article in journal,u159wt1z,2018-10-09,1254343,okänd
Article in journal,u1fr0htl,2018-10-18,1257064,okänd
Article in journal,u1o2txrh,2018-10-24,1258181,KTHB
Article in journal,u1o2txrh,2018-10-24,1258174,KTHB
Article in journal,u1318yhr,2018-10-26,1258873,okänd
Article in journal,u1izkr9z,2018-10-29,1259235,okänd
Article in journal,u1enfr6x,2018-10-29,1259380,okänd
Article in journal,u1o2txrh,2018-10-31,1259919,KTHB
Article in journal,u1etznzo,2018-11-06,1261215,okänd
Article in journal,u1coq1jm,2018-11-06,1261039,KTHB
Article in journal,u12ea8h6,2018-11-06,1261080,okänd
Manuscript (preprint),u1v7ocjy,2018-11-07,1261396,okänd
Article in journal,u19lof5r,2018-11-08,1261610,okänd
Chapter in book,u19lof5r,2018-11-08,1261617,okänd
Article in journal,u19lof5r,2018-11-09,1262143,okänd
Article in journal,u19lof5r,2018-11-09,1262153,okänd
Article in journal,u19lof5r,2018-11-09,1262154,okänd
Article in journal,u19lof5r,2018-11-09,1262162,okänd
Article in journal,u19lof5r,2018-11-09,1262095,okänd
Conference paper,u19lof5r,2018-11-09,1262083,okänd
Conference paper,u19lof5r,2018-11-09,1262146,okänd
Article in journal,u19lof5r,2018-11-12,1262479,okänd
Article in journal,u1nt9kas,2018-11-12,1262552,okänd
Article in journal,u1i7q5yg,2018-11-13,1262844,okänd
Article in journal,u1vyi8ce,2018-11-15,1263557,okänd
Article in journal,u1vyi8ce,2018-11-15,1263568,okänd
Article in journal,u19lof5r,2018-11-16,1263701,okänd
Article in journal,u16bt2vo,2018-11-16,1263825,okänd
Article in journal,u1dfmuzo,2018-11-16,1263859,okänd
Conference paper,u1m17fl0,2018-11-16,1263805,okänd
Article in journal,u19lof5r,2018-11-16,1263702,okänd
Article in journal,u18ut7qb,2018-11-18,1263917,okänd
Article in journal,u19lof5r,2018-11-20,1264432,okänd
Conference paper,u1b9avjc,2018-11-20,1264400,okänd
Article in journal,u19lof5r,2018-11-20,1264361,okänd
Article in journal,u19lof5r,2018-11-20,1264372,okänd
Article in journal,u19lof5r,2018-11-20,1264370,okänd
Article in journal,u19lof5r,2018-11-20,1264401,okänd
Article in journal,u19lof5r,2018-11-20,1264363,okänd
Conference paper,u1b9avjc,2018-11-20,1264409,okänd
Article in journal,u19lof5r,2018-11-20,1264425,okänd
Article in journal,u19lof5r,2018-11-20,1264417,okänd
Article in journal,u19lof5r,2018-11-20,1264366,okänd
Article in journal,u19lof5r,2018-11-20,1264422,okänd
Article in journal,u19lof5r,2018-11-20,1264388,okänd
Article in journal,u1jqk24g,2018-11-21,1264967,okänd
Article in journal,u1kz3vk2,2018-11-22,1265042,okänd
