                                                                                              
    y     art_n_pi         pi          art_n_r          r                shr           pct    
                                                                                              
   2015        932   ░░░░                  879   ░░░░              ████████░░░░░░░    51 %    
   2016       1142   ░░░░░                1260   ░░░░░░            ███████░░░░░░░░    48 %    
   2017       1922   ░░░░░░░░░             855   ░░░░              ██████████░░░░░    69 %    
   2018       2363   ░░░░░░░░░░░           890   ░░░░              ███████████░░░░    73 %    
   2019       3129   ░░░░░░░░░░░░░░░      1418   ░░░░░░░           ██████████░░░░░    69 %    
   2020       3240   ░░░░░░░░░░░░░░░       880   ░░░░              ████████████░░░    79 %    
   2021       2617   ░░░░░░░░░░░░         1167   ░░░░░             ██████████░░░░░    69 %    
   2022       2354   ░░░░░░░░░░░          1302   ░░░░░░            ██████████░░░░░    64 %    
   2023       3110   ░░░░░░░░░░░░░░░      1264   ░░░░░░            ███████████░░░░    71 %    
   2024       2456   ░░░░░░░░░░░░          931   ░░░░              ███████████░░░░    73 %    
   2025       2387   ░░░░░░░░░░░           799   ░░░░              ███████████░░░░    75 %    
                                                                                              
