                                                                                                
     t      con_n_pi         pi          con_n_r          r                shr           pct    
                                                                                                
  2025-01        148   ░░░░░░░░░░░            39   ░░░               ████████████░░░    79 %    
  2025-02         81   ░░░░░░                 14   ░                 █████████████░░    85 %    
  2025-03         92   ░░░░░░░                35   ░░░               ███████████░░░░    72 %    
  2025-04         90   ░░░░░░░                31   ░░                ███████████░░░░    74 %    
  2025-05         48   ░░░░                   21   ░░                ███████████░░░░    70 %    
  2025-06         22   ░░                     52   ░░░░              █████░░░░░░░░░░    30 %    
  2025-07        111   ░░░░░░░░               85   ░░░░░░            █████████░░░░░░    57 %    
  2025-08         39   ░░░                    59   ░░░░              ██████░░░░░░░░░    40 %    
  2025-09         57   ░░░░                   65   ░░░░░             ███████░░░░░░░░    47 %    
  2025-10         41   ░░░                    45   ░░░               ███████░░░░░░░░    48 %    
  2025-11         29   ░░                     16   ░                 ██████████░░░░░    64 %    
                                                                                                
