                                                                                              
    y     con_n_pi         pi          con_n_r          r                shr           pct    
                                                                                              
   2015        454   ░░░░░                 923   ░░░░░░░░░         █████░░░░░░░░░░    33 %    
   2016        675   ░░░░░░░               743   ░░░░░░░           ███████░░░░░░░░    48 %    
   2017        757   ░░░░░░░░              828   ░░░░░░░░          ███████░░░░░░░░    48 %    
   2018        761   ░░░░░░░░              679   ░░░░░░░           ████████░░░░░░░    53 %    
   2019        908   ░░░░░░░░░             898   ░░░░░░░░░         ████████░░░░░░░    50 %    
   2020        804   ░░░░░░░░              659   ░░░░░░░           ████████░░░░░░░    55 %    
   2021        779   ░░░░░░░░              670   ░░░░░░░           ████████░░░░░░░    54 %    
   2022        781   ░░░░░░░░              602   ░░░░░░            ████████░░░░░░░    56 %    
   2023       1230   ░░░░░░░░░░░░          750   ░░░░░░░░          █████████░░░░░░    62 %    
   2024       1174   ░░░░░░░░░░░░          329   ░░░               ████████████░░░    78 %    
   2025        756   ░░░░░░░░              456   ░░░░░             █████████░░░░░░    62 %    
                                                                                              
